,game_id,week,season,posteam,defteam,pass_epa,pass_count
4,2021_01_ARI_TEN,1,2021.0,ARI,TEN,11.811978108226205,34
11,2021_01_ARI_TEN,1,2021.0,TEN,ARI,-16.633516116453,42
18,2021_01_BAL_LV,1,2021.0,BAL,LV,2.3546009919917488,33
26,2021_01_BAL_LV,1,2021.0,LV,BAL,9.413650628196526,57
33,2021_01_CHI_LA,1,2021.0,CHI,LA,-10.521667287393939,43
40,2021_01_CHI_LA,1,2021.0,LA,CHI,18.848576589254026,27
47,2021_01_CLE_KC,1,2021.0,CLE,KC,10.770012461114675,30
54,2021_01_CLE_KC,1,2021.0,KC,CLE,19.399531156391028,39
62,2021_01_DAL_TB,1,2021.0,DAL,TB,14.206178918211204,59
69,2021_01_DAL_TB,1,2021.0,TB,DAL,7.777624961981972,50
75,2021_01_DEN_NYG,1,2021.0,DEN,NYG,18.258526366323583,38
81,2021_01_DEN_NYG,1,2021.0,NYG,DEN,-1.3879248314769939,38
89,2021_01_GB_NO,1,2021.0,GB,NO,-18.941449824289123,37
96,2021_01_GB_NO,1,2021.0,NO,GB,15.403626381338164,21
104,2021_01_JAX_HOU,1,2021.0,HOU,JAX,14.053602164235166,34
112,2021_01_JAX_HOU,1,2021.0,JAX,HOU,-3.838039752250948,52
120,2021_01_LAC_WAS,1,2021.0,LAC,WAS,10.384261467303975,49
128,2021_01_LAC_WAS,1,2021.0,WAS,LAC,0.5525065666882272,22
135,2021_01_MIA_NE,1,2021.0,MIA,NE,1.3420937838439366,29
143,2021_01_MIA_NE,1,2021.0,NE,MIA,6.8323164225013535,40
150,2021_01_MIN_CIN,1,2021.0,CIN,MIN,3.980767612479388,31
158,2021_01_MIN_CIN,1,2021.0,MIN,CIN,11.124477901234059,52
166,2021_01_NYJ_CAR,1,2021.0,CAR,NYJ,2.872278243143305,36
172,2021_01_NYJ_CAR,1,2021.0,NYJ,CAR,-7.6982807563180105,44
178,2021_01_PHI_ATL,1,2021.0,ATL,PHI,-15.975289404987098,38
185,2021_01_PHI_ATL,1,2021.0,PHI,ATL,12.510651967517335,35
193,2021_01_PIT_BUF,1,2021.0,BUF,PIT,-6.091796199729928,54
200,2021_01_PIT_BUF,1,2021.0,PIT,BUF,-0.8279154689188853,34
208,2021_01_SEA_IND,1,2021.0,IND,SEA,0.3033420569808616,41
214,2021_01_SEA_IND,1,2021.0,SEA,IND,12.114889423595741,26
221,2021_01_SF_DET,1,2021.0,DET,SF,-6.848857373831638,62
228,2021_01_SF_DET,1,2021.0,SF,DET,19.006603549736926,26
237,2021_02_ATL_TB,2,2021.0,ATL,TB,-9.130134304093644,49
243,2021_02_ATL_TB,2,2021.0,TB,ATL,1.8543642080330756,39
251,2021_02_BUF_MIA,2,2021.0,BUF,MIA,-0.750371401512373,34
257,2021_02_BUF_MIA,2,2021.0,MIA,BUF,-24.924376490642317,50
265,2021_02_CIN_CHI,2,2021.0,CHI,CIN,-7.05750878532743,27
273,2021_02_CIN_CHI,2,2021.0,CIN,CHI,-15.078593559462728,35
280,2021_02_DAL_LAC,2,2021.0,DAL,LAC,-1.6675555825016866,29
286,2021_02_DAL_LAC,2,2021.0,LAC,DAL,3.622237258148108,43
292,2021_02_DEN_JAX,2,2021.0,DEN,JAX,8.952235956861411,37
300,2021_02_DEN_JAX,2,2021.0,JAX,DEN,-14.178728552352348,35
307,2021_02_DET_GB,2,2021.0,DET,GB,-0.5681896907650774,37
313,2021_02_DET_GB,2,2021.0,GB,DET,17.5704846290173,30
321,2021_02_HOU_CLE,2,2021.0,CLE,HOU,2.6616451319423495,23
329,2021_02_HOU_CLE,2,2021.0,HOU,CLE,9.352581492130135,30
336,2021_02_KC_BAL,2,2021.0,BAL,KC,-1.1584210339438312,28
344,2021_02_KC_BAL,2,2021.0,KC,BAL,17.198165178648196,31
351,2021_02_LA_IND,2,2021.0,IND,LA,-4.3744268841139355,40
357,2021_02_LA_IND,2,2021.0,LA,IND,11.933595880489168,31
364,2021_02_LV_PIT,2,2021.0,LV,PIT,20.62271648711078,39
371,2021_02_LV_PIT,2,2021.0,PIT,LV,2.70703791455795,42
378,2021_02_MIN_ARI,2,2021.0,ARI,MIN,4.577820325585417,39
385,2021_02_MIN_ARI,2,2021.0,MIN,ARI,6.9798191007773935,33
392,2021_02_NE_NYJ,2,2021.0,NE,NYJ,-4.378398055847251,33
398,2021_02_NE_NYJ,2,2021.0,NYJ,NE,-23.70224450281283,37
406,2021_02_NO_CAR,2,2021.0,CAR,NO,10.916118615744793,40
412,2021_02_NO_CAR,2,2021.0,NO,CAR,-18.644943965482526,26
420,2021_02_NYG_WAS,2,2021.0,NYG,WAS,2.8205659581865383,36
428,2021_02_NYG_WAS,2,2021.0,WAS,NYG,0.7827035810534931,46
435,2021_02_SF_PHI,2,2021.0,PHI,SF,-2.12246047011826,26
443,2021_02_SF_PHI,2,2021.0,SF,PHI,6.493261843919753,30
451,2021_02_TEN_SEA,2,2021.0,SEA,TEN,8.279979560883039,34
458,2021_02_TEN_SEA,2,2021.0,TEN,SEA,7.436185092462178,43
