,game_id,week,season,posteam,defteam,pass_success,pass_count
0,2021_01_ARI_TEN,1,2021.0,ARI,TEN,14.0,34
1,2021_01_ARI_TEN,1,2021.0,TEN,ARI,19.0,42
2,2021_01_BAL_LV,1,2021.0,BAL,LV,16.0,33
3,2021_01_BAL_LV,1,2021.0,LV,BAL,28.0,57
4,2021_01_CHI_LA,1,2021.0,CHI,LA,23.0,43
5,2021_01_CHI_LA,1,2021.0,LA,CHI,15.0,27
6,2021_01_CLE_KC,1,2021.0,CLE,KC,16.0,30
7,2021_01_CLE_KC,1,2021.0,KC,CLE,20.0,39
8,2021_01_DAL_TB,1,2021.0,DAL,TB,34.0,59
9,2021_01_DAL_TB,1,2021.0,TB,DAL,27.0,50
10,2021_01_DEN_NYG,1,2021.0,DEN,NYG,22.0,38
11,2021_01_DEN_NYG,1,2021.0,NYG,DEN,17.0,38
12,2021_01_GB_NO,1,2021.0,GB,NO,14.0,37
13,2021_01_GB_NO,1,2021.0,NO,GB,13.0,21
14,2021_01_JAX_HOU,1,2021.0,HOU,JAX,17.0,34
15,2021_01_JAX_HOU,1,2021.0,JAX,HOU,22.0,52
16,2021_01_LAC_WAS,1,2021.0,LAC,WAS,28.0,49
17,2021_01_LAC_WAS,1,2021.0,WAS,LAC,9.0,22
18,2021_01_MIA_NE,1,2021.0,MIA,NE,14.0,29
19,2021_01_MIA_NE,1,2021.0,NE,MIA,21.0,40
20,2021_01_MIN_CIN,1,2021.0,CIN,MIN,14.0,31
21,2021_01_MIN_CIN,1,2021.0,MIN,CIN,24.0,52
22,2021_01_NYJ_CAR,1,2021.0,CAR,NYJ,16.0,36
23,2021_01_NYJ_CAR,1,2021.0,NYJ,CAR,16.0,44
24,2021_01_PHI_ATL,1,2021.0,ATL,PHI,14.0,38
25,2021_01_PHI_ATL,1,2021.0,PHI,ATL,20.0,35
26,2021_01_PIT_BUF,1,2021.0,BUF,PIT,22.0,54
27,2021_01_PIT_BUF,1,2021.0,PIT,BUF,15.0,34
28,2021_01_SEA_IND,1,2021.0,IND,SEA,20.0,41
29,2021_01_SEA_IND,1,2021.0,SEA,IND,14.0,26
30,2021_01_SF_DET,1,2021.0,DET,SF,28.0,62
