,Team,Conference,latitude,longitude,TimeZone
1,TEN,AFC,36.166461,-86.771289,1
2,NYG,NFC,40.812194,-74.076983,0
3,PIT,AFC,40.446786,-80.015761,1
4,CAR,NFC,35.225808,-80.852861,0
5,BAL,AFC,39.277969,-76.622767,0
6,TB,NFC,27.975967,-82.50335,0
7,IND,AFC,39.760056,-86.163806,1
8,MIN,NFC,44.973881,-93.258094,1
9,ARI,NFC,33.5277,-112.262608,2
10,DAL,NFC,32.747778,-97.092778,1
11,ATL,NFC,33.757614,-84.400972,0
12,NYJ,AFC,40.812194,-74.076983,0
13,DEN,AFC,39.743936,-105.020097,2
14,MIA,AFC,25.957919,-80.238842,0
15,PHI,NFC,39.900775,-75.167453,0
16,CHI,NFC,41.862306,-87.616672,1
17,NE,AFC,42.090925,-71.26435,0
18,WAS,NFC,38.907697,-76.864517,0
19,GB,NFC,44.501306,-88.062167,1
20,SD,AFC,32.783117,-117.119525,3
21,NO,NFC,29.950931,-90.081364,1
22,HOU,AFC,29.684781,-95.410956,1
23,BUF,AFC,42.773739,-78.786978,0
24,SF,NFC,37.713486,-122.386256,3
25,JAC,AFC,30.323925,-81.637356,0
26,CLE,AFC,41.506022,-81.699564,1
27,OAK,AFC,37.751411,-122.200889,3
28,KC,AFC,39.048914,-94.484039,1
29,STL,NFC,38.632975,-90.188547,1
30,SEA,NFC,47.595153,-122.331625,3
31,CIN,AFC,39.095442,-84.516039,1
32,DET,NFC,42.340156,-83.045808,1
33,LA,NFC,34.014053,-118.287875,3
34,LAC,AFC,33.515,-118.154,3
35,LON,NFL,51.556,0.2795,-5
36,MEX,NFL,19.303,99.15,1
