,Date,Team,Opp,ML,Spread,Total,SpreadClose,TotalClose
96,2021-09-30 00:00:00,JAC,CIN,270.0,6.5,46.0,8.5,46.0
97,2021-09-30 00:00:00,CIN,JAC,-330.0,-6.5,46.0,-8.5,46.0
53,2020-09-20 00:00:00,TEN,JAC,-310.0,4.0,45.0,-7.0,45.0
52,2020-09-20 00:00:00,JAC,TEN,260.0,-4.0,45.0,7.0,45.0
389,2021-12-09 00:00:00,MIN,PIT,-175.0,-3.5,44.5,-3.5,44.5
388,2021-12-09 00:00:00,PIT,MIN,155.0,3.5,44.5,3.5,44.5
530,2022-01-09 00:00:00,WAS,NYG,-240.0,-7.0,37.0,-5.5,36.5
537,2022-01-09 00:00:00,CLE,CIN,-260.0,-6.0,37.0,-7.0,38.0
531,2022-01-09 00:00:00,NYG,WAS,200.0,7.0,37.0,5.5,36.5
536,2022-01-09 00:00:00,CIN,CLE,220.0,6.0,37.0,7.0,38.0
6,2020-09-13 00:00:00,NYJ,BUF,250.0,6.0,39.5,6.5,39.0
7,2020-09-13 00:00:00,BUF,NYJ,-300.0,-6.0,39.5,-6.5,39.0
533,2022-01-09 00:00:00,ATL,NO,180.0,4.5,40.0,5.0,40.5
288,2020-11-15 00:00:00,BAL,NE,-320.0,-7.0,40.0,-7.0,44.0
532,2022-01-09 00:00:00,NO,ATL,-210.0,-4.5,40.0,-5.0,40.5
289,2020-11-15 00:00:00,NE,BAL,265.0,7.0,40.0,7.0,44.0
442,2021-12-20 00:00:00,LV,CLE,-140.0,0.0,40.5,-3.0,41.5
520,2022-01-09 00:00:00,NE,MIA,-260.0,-7.0,40.5,-5.5,41.0
521,2022-01-09 00:00:00,MIA,NE,220.0,7.0,40.5,5.5,41.0
524,2022-01-09 00:00:00,NYJ,BUF,800.0,16.5,40.5,16.0,43.0
443,2021-12-20 00:00:00,CLE,LV,120.0,-0.0,40.5,3.0,41.5
271,2021-11-08 00:00:00,PIT,CHI,-310.0,5.0,40.5,-7.5,40.0
270,2021-11-08 00:00:00,CHI,PIT,260.0,-5.0,40.5,7.5,40.0
491,2022-01-02 00:00:00,NO,CAR,-300.0,-7.0,40.5,-7.0,37.0
525,2022-01-09 00:00:00,BUF,NYJ,-1400.0,-16.5,40.5,-16.0,43.0
490,2022-01-02 00:00:00,CAR,NO,250.0,7.0,40.5,7.0,37.0
96,2020-10-01 00:00:00,DEN,NYJ,-105.0,-2.0,41.0,1.0,41.0
535,2022-01-09 00:00:00,BAL,PIT,-155.0,-3.0,41.0,-3.0,40.5
498,2022-01-02 00:00:00,MIA,TEN,150.0,3.5,41.0,3.0,41.0
499,2022-01-02 00:00:00,TEN,MIA,-170.0,-3.5,41.0,-3.0,41.0
534,2022-01-09 00:00:00,PIT,BAL,135.0,3.0,41.0,3.0,40.5
479,2021-12-28 00:00:00,NO,MIA,145.0,-3.5,41.0,3.0,37.5
488,2021-01-03 00:00:00,PIT,CLE,375.0,4.0,41.0,11.5,44.5
97,2020-10-01 00:00:00,NYJ,DEN,-115.0,2.0,41.0,-1.0,41.0
277,2020-11-15 00:00:00,NYG,PHI,190.0,3.0,41.0,4.5,46.0
276,2020-11-15 00:00:00,PHI,NYG,-220.0,-3.0,41.0,-4.5,46.0
489,2021-01-03 00:00:00,CLE,PIT,-450.0,-4.0,41.0,-11.5,44.5
478,2021-12-28 00:00:00,MIA,NO,-165.0,3.5,41.0,-3.0,37.5
447,2020-12-21 00:00:00,CIN,PIT,750.0,11.5,41.5,16.0,40.5
514,2021-01-09 00:00:00,LA,SEA,155.0,4.5,41.5,3.0,42.0
467,2021-12-26 00:00:00,NYJ,JAC,-135.0,-1.0,41.5,-1.0,43.5
446,2020-12-21 00:00:00,PIT,CIN,-1200.0,-11.5,41.5,-16.0,40.5
466,2021-12-26 00:00:00,JAC,NYJ,115.0,1.0,41.5,1.0,43.5
380,2020-12-07 00:00:00,WAS,PIT,220.0,9.0,41.5,5.5,43.5
515,2021-01-09 00:00:00,SEA,LA,-175.0,-4.5,41.5,-3.0,42.0
