,game_id,season,game_type,week,gameday,weekday,gametime,away_team,home_team,away_score,home_score,home_result,stadium,location,roof,surface,old_game_id
0,1999_01_MIN_ATL,1999,REG,1,1999-09-12,Sunday,,MIN,ATL,17.0,14.0,-3.0,Georgia Dome,Home,outdoors,fieldturf,1999091210
1,1999_01_KC_CHI,1999,REG,1,1999-09-12,Sunday,,KC,CHI,17.0,20.0,3.0,Soldier Field,Home,outdoors,grass,1999091206
2,1999_01_PIT_CLE,1999,REG,1,1999-09-12,Sunday,,PIT,CLE,43.0,0.0,-43.0,Cleveland Browns Stadium,Home,outdoors,grass,1999091213
3,1999_01_OAK_GB,1999,REG,1,1999-09-12,Sunday,,LV,GB,24.0,28.0,4.0,Lambeau Field,Home,outdoors,grass,1999091208
4,1999_01_BUF_IND,1999,REG,1,1999-09-12,Sunday,,BUF,IND,14.0,31.0,17.0,RCA Dome,Home,closed,fieldturf,1999091202
5,1999_01_SF_JAX,1999,REG,1,1999-09-12,Sunday,,SF,JAX,3.0,41.0,38.0,Alltel Stadium,Home,outdoors,grass,1999091212
6,1999_01_CAR_NO,1999,REG,1,1999-09-12,Sunday,,CAR,NO,10.0,19.0,9.0,Louisiana Superdome,Home,closed,astroturf,1999091203
7,1999_01_NE_NYJ,1999,REG,1,1999-09-12,Sunday,,NE,NYJ,30.0,28.0,-2.0,Giants Stadium,Home,outdoors,fieldturf,1999091207
8,1999_01_ARI_PHI,1999,REG,1,1999-09-12,Sunday,,ARI,PHI,25.0,24.0,-1.0,Veterans Stadium,Home,outdoors,grass,1999091200
9,1999_01_DET_SEA,1999,REG,1,1999-09-12,Sunday,,DET,SEA,28.0,20.0,-8.0,Seattle Kingdome,Home,outdoors,grass,1999091209
10,1999_01_BAL_STL,1999,REG,1,1999-09-12,Sunday,,BAL,LA,10.0,27.0,17.0,TWA Dome,Home,,,1999091201
11,1999_01_NYG_TB,1999,REG,1,1999-09-12,Sunday,,NYG,TB,17.0,13.0,-4.0,Raymond James Stadium,Home,outdoors,grass,1999091211
12,1999_01_CIN_TEN,1999,REG,1,1999-09-12,Sunday,,CIN,TEN,35.0,36.0,1.0,Adelphia Coliseum,Home,outdoors,grass,1999091204
13,1999_01_DAL_WAS,1999,REG,1,1999-09-12,Sunday,,DAL,WAS,41.0,35.0,-6.0,Jack Kent Cooke Stadium,Home,outdoors,grass,1999091205
14,1999_01_MIA_DEN,1999,REG,1,1999-09-13,Monday,,MIA,DEN,38.0,21.0,-17.0,Mile High Stadium,Home,outdoors,grass,1999091300
15,1999_02_PIT_BAL,1999,REG,2,1999-09-19,Sunday,,PIT,BAL,23.0,20.0,-3.0,PSINet Stadium,Home,outdoors,grass,1999091905
16,1999_02_NYJ_BUF,1999,REG,2,1999-09-19,Sunday,,NYJ,BUF,3.0,17.0,14.0,Ralph Wilson Stadium,Home,outdoors,astroturf,1999091913
17,1999_02_JAX_CAR,1999,REG,2,1999-09-19,Sunday,,JAX,CAR,22.0,20.0,-2.0,Ericsson Stadium,Home,outdoors,grass,1999091903
18,1999_02_SEA_CHI,1999,REG,2,1999-09-19,Sunday,,SEA,CHI,14.0,13.0,-1.0,Soldier Field,Home,outdoors,grass,1999091907
19,1999_02_SD_CIN,1999,REG,2,1999-09-19,Sunday,,LAC,CIN,34.0,7.0,-27.0,Cinergy Field,Home,outdoors,grass,1999091906
20,1999_02_GB_DET,1999,REG,2,1999-09-19,Sunday,,GB,DET,15.0,23.0,8.0,Pontiac Silverdome,Home,closed,fieldturf,1999091901
21,1999_02_DEN_KC,1999,REG,2,1999-09-19,Sunday,,DEN,KC,10.0,26.0,16.0,Arrowhead Stadium,Home,outdoors,astroturf,1999091912
