,game_id,week,season,posteam,defteam,pass_success,pass_count,expected_success
0,2021_01_ARI_TEN,1,2021.0,ARI,TEN,14.0,34,16.102585146372526
1,2021_01_ARI_TEN,1,2021.0,TEN,ARI,19.0,42,20.050987548981727
2,2021_01_BAL_LV,1,2021.0,BAL,LV,16.0,33,15.891813269133321
3,2021_01_BAL_LV,1,2021.0,LV,BAL,28.0,57,26.803478578626734
4,2021_01_CHI_LA,1,2021.0,CHI,LA,23.0,43,20.286677064476095
5,2021_01_CHI_LA,1,2021.0,LA,CHI,15.0,27,13.018389520710267
6,2021_01_CLE_KC,1,2021.0,CLE,KC,16.0,30,14.06750113488783
7,2021_01_CLE_KC,1,2021.0,KC,CLE,20.0,38,18.481720096059956
8,2021_01_DAL_TB,1,2021.0,DAL,TB,34.0,59,28.77035170257875
9,2021_01_DAL_TB,1,2021.0,TB,DAL,27.0,50,24.390583128350833
10,2021_01_DEN_NYG,1,2021.0,DEN,NYG,22.0,38,18.28071513051292
11,2021_01_DEN_NYG,1,2021.0,NYG,DEN,17.0,38,18.294531906126373
12,2021_01_GB_NO,1,2021.0,GB,NO,14.0,37,17.803379183685603
13,2021_01_GB_NO,1,2021.0,NO,GB,13.0,21,10.07766225491729
14,2021_01_JAX_HOU,1,2021.0,HOU,JAX,17.0,34,16.931280232057475
15,2021_01_JAX_HOU,1,2021.0,JAX,HOU,22.0,52,24.50781800118436
16,2021_01_LAC_WAS,1,2021.0,LAC,WAS,28.0,49,23.558291061236606
17,2021_01_LAC_WAS,1,2021.0,WAS,LAC,9.0,22,10.386698714709599
18,2021_01_MIA_NE,1,2021.0,MIA,NE,14.0,29,13.961100006937153
19,2021_01_MIA_NE,1,2021.0,NE,MIA,21.0,40,18.881699906104345
20,2021_01_MIN_CIN,1,2021.0,CIN,MIN,14.0,31,15.028233120458227
21,2021_01_MIN_CIN,1,2021.0,MIN,CIN,24.0,52,23.643447698543593
22,2021_01_NYJ_CAR,1,2021.0,CAR,NYJ,16.0,36,17.497774076375205
23,2021_01_NYJ_CAR,1,2021.0,NYJ,CAR,16.0,43,20.087156649290193
24,2021_01_PHI_ATL,1,2021.0,ATL,PHI,14.0,38,17.769492173143192
25,2021_01_PHI_ATL,1,2021.0,PHI,ATL,20.0,35,16.55942080884804
26,2021_01_PIT_BUF,1,2021.0,BUF,PIT,22.0,54,25.72747554731221
27,2021_01_PIT_BUF,1,2021.0,PIT,BUF,15.0,34,16.450497938375225
28,2021_01_SEA_IND,1,2021.0,IND,SEA,20.0,41,19.763875369493373
